,Headlines,Summary,Time,ner_text,GPE,LOC,PERSON,ORG,DATE,Type of Crime
332,Body recovered,"NOWSHERA, Feb 3: Police recovered body of a young woman when three unidentified men were trying to bury it in Usmanabad locality here on Sunday. 
    ",2013-02-04,"[NOWSHERA, Feb 3, three, Usmanabad, Sunday]",['Usmanabad'],[],[],['NOWSHERA'],"['Feb 3', 'Sunday']",[]
333,Police solve missing woman case,"TAXILA, Feb 2: Rawalpindi police on Saturday recovered a woman, who went missing some six years ago, along with her husband and two children from a rented house in the limits of Wah Cantonment Police Station and shifted her to Rawalpindi. 
    ",2013-02-04,"[TAXILA, Feb 2, Rawalpindi, Saturday, some six years ago, two, Wah Cantonment Police Station, Rawalpindi]","['Rawalpindi', 'Rawalpindi']",[],[],"['TAXILA', 'Wah Cantonment Police Station']","['Feb 2', 'Saturday', 'some six years ago']",['Assault']
334,Husband held for killing wife,"ATTOCK, Feb 2: Police on Saturday arrested a man on charges of murdering his wife over a domestic dispute. 
    ",2013-02-04,"[ATTOCK, Feb 2, Saturday]",[],[],[],['ATTOCK'],"['Feb 2', 'Saturday']",['Drug']
335,Non-bailable warrants for Lal Masjid cleric,"A local court issued non-bailable warrants for Maulana Abdul Aziz, Khateeb of Lal Masjid, and four witnesses, including a police officer. 
    ",2013-02-09,"[Maulana Abdul Aziz, Khateeb, Lal Masjid, four]",[],[],"['Maulana Abdul Aziz', 'Khateeb']",['Lal Masjid'],[],[]
336,Retired armyman shot dead,"ATTOCK, Feb 9: Two persons were killed and five others seriously injured in two separate incidents in the district. 
    ",2013-02-09,"[ATTOCK, Feb 9, Two, five, two]",[],[],[],['ATTOCK'],['Feb 9'],['Murder']
337,Four bodies dumped in Peshawar graveyard,"PESHAWAR, Feb 9: Six people were gunned down in two different incidents in the provincial metropolis on Saturday. 
    ",2013-02-09,"[PESHAWAR, Feb 9, Six, two, Saturday]",['PESHAWAR'],[],[],[],"['Feb 9', 'Saturday']",[]
338,Two bombs defused in Miramshah,"MIRAMSHAH, Feb 9: The security forces defused two roadside remote controlled bombs as the administration imposed indefinite curfew in the agency headquarters of North Waziristan Agency on Saturday. 
    ",2013-02-09,"[MIRAMSHAH, Feb 9, two, North Waziristan Agency, Saturday]",[],[],[],"['MIRAMSHAH', 'North Waziristan Agency']","['Feb 9', 'Saturday']",[]
339,Protest against Quetta killings outside White House,"WASHINGTON, Feb 18: Hours after yet another bomb blast killed at least 89 people in Quetta, protesters outside the White House urged US President Barack Obama to intervene and stop the genocide of Shias in 
    ",2013-02-18,"[WASHINGTON, Feb 18, at least 89, Quetta, the White House, US, Barack Obama, Shias]","['WASHINGTON', 'Quetta', 'US']",[],['Barack Obama'],[],['Feb 18'],"['Murder', 'Terrorism']"
340,Two target killers shot dead,"QUETTA, Feb 18: Two suspected target killers died and another was injured during a gunbattle with police near Hub town on Monday, police said. 
    ",2013-02-18,"[QUETTA, Feb 18, Two, Monday]",['QUETTA'],[],[],[],"['Feb 18', 'Monday']",['Assault']
341,"Five die as truck, van collide","KOHAT, Feb 17: Five persons among them a woman were killed and 13 others injured in a road accident on Indus Highway here on Sunday. 
    ",2013-02-18,"[KOHAT, Feb 17, Five, 13, Indus Highway, Sunday]",[],[],[],['KOHAT'],"['Feb 17', 'Sunday']",[]
342,"Former peace volunteer, vendor killed in Tank","TANK, Feb 20: Unidentified motorcyclists shot dead two persons, including a former member of a peace committee, and injured another here on Wednesday. 
    ",2013-02-20,"[Feb 20, two, Wednesday]",[],[],[],[],"['Feb 20', 'Wednesday']",['Murder']
343,Six tribesmen injured in clash,"GHALANAI, Feb 20: Six people were injured when rival tribes clashed over a land dispute in Haleemzai tehsil of Mohmand Agency on Wednesday. 
    ",2013-02-20,"[GHALANAI, Feb 20, Six, Haleemzai, Mohmand Agency, Wednesday]",[],['Haleemzai'],[],"['GHALANAI', 'Mohmand Agency']","['Feb 20', 'Wednesday']",['Assault']
344,Cases filed against LJ activists,"Cases have been registered against three activists of Laskhar-i-Jhangvi for leaving their hometown without prior permission of police, it is learnt. 
    ",2013-02-26,"[three, Laskhar]",[],[],['Laskhar'],[],[],[]
345,Islamabad police off to Kabul to arrest former advocate generals killer,"ISLAMABAD, March 13: On Thursday, a three-man team from the capital police will leave for Afghanistan, hoping to arrest the man accused of killing a former Advocate General of the Peshawar High Court. 
    ",2013-03-13,"[ISLAMABAD, March 13, Thursday, three, Afghanistan, Advocate General of the Peshawar High Court]","['ISLAMABAD', 'Afghanistan']",[],[],['Advocate General of the Peshawar High Court'],"['March 13', 'Thursday']",['Drug']
346,FC man killed in Charsadda attack,"CHARSADDA/KHAR, March 19: Unidentified persons killed a soldier of Frontier Constabulary and injured two policemen ... 
    ",2013-03-20,"[March 19, Frontier Constabulary, two]",[],[],[],['Frontier Constabulary'],['March 19'],['Kidnapping']
347,US drones kill four near Miramshah,"MIRAMSHAH, March 21: US drones fired two missiles at a vehicle in the countrys northwestern tribal belt on Thursday, killing four militants, security officials said 
    ",2013-03-22,"[MIRAMSHAH, March 21, US, two, countrys, Thursday, four]",['US'],[],[],['MIRAMSHAH'],"['March 21', 'Thursday']",[]
348,Three militants killed in attack on checkpost,"Three militants were killed and a security official was injured as Afghanistan-based militants attacked a checkpoint along the border in Nawagai tehsil of Bajaur tribal region. 
    ",2013-03-27,"[Three, Afghanistan, Nawagai, Bajaur]","['Afghanistan', 'Nawagai', 'Bajaur']",[],[],[],[],"['Murder', 'Assault']"
349,Man killed in grenade attack,"MINGORA, March 26: A man was killed in a hand grenade attack in Matta area of Swat district on Tuesday. 
    ",2013-03-27,"[MINGORA, March 26, Swat, Tuesday]",['Swat'],[],[],['MINGORA'],"['March 26', 'Tuesday']",['Murder']
350,Two FC men injured in blast,"QUETTA, March 31: Two Frontier Corps personnel were injured on Sunday when a remote-controlled bomb planted in Sariab area went off, police said. 
    ",2013-04-01,"[QUETTA, March 31, Two, Frontier Corps, Sunday, Sariab]","['QUETTA', 'Sariab']",[],[],['Frontier Corps'],"['March 31', 'Sunday']",[]
351,Sketches to help police trace rocket suspects,"RAWALPINDI, March 31: A day after a security guard spotted two men dropping a sack containing four rockets in a housing society near Central Jail Adiala, police search operations have collected more than 30 people, 
    ",2013-04-01,"[RAWALPINDI, March 31, A day, two, four, Central Jail Adiala, more than 30]",['Central Jail Adiala'],[],[],['RAWALPINDI'],"['March 31', 'A day']",[]
352,Land dispute leads to shootout,"RAWALPINDI, March 31: Initially feared to be a sectarian incident, a clash between two groups, which left one man dead and another in critical condition, turned out to be a dispute over property. 
    ",2013-04-01,"[RAWALPINDI, March 31, two, one]",[],[],[],['RAWALPINDI'],['March 31'],['Assault']
353,Policeman injured in Kohat attack,"KOHAT, March 31: A policeman was injured when unidentified armed persons attacked a party of law enforcers in Jungle Khel area here on Sunday. 
    ",2013-04-01,"[KOHAT, March 31, Jungle Khel, Sunday]",[],[],['Jungle Khel'],['KOHAT'],"['March 31', 'Sunday']",[]
354,Youth killed,"DAGGAR, March 31: A policeman allegedly shot dead a young man in Kalpani area of Buner district here on Sunday. Zaheerullah, father of the victim, Saddam Hussain, (19), told the Gagra police station that his son was going home when their neighbour, 
    ",2013-04-01,"[DAGGAR, March 31, Kalpani, Buner, Sunday, Zaheerullah, Saddam Hussain, 19, Gagra]",['Buner'],[],"['Zaheerullah', 'Saddam Hussain']","['DAGGAR', 'Gagra']","['March 31', 'Sunday']",[]
355,Car attacked for violating curfew in N. Waziristan,"MIRAMSHAH, March 31: Four people were injured when a car was attacked in Spinwam tehsil of the North Waziristan tribal region for violating curfew on Sunday. 
    ",2013-04-01,"[MIRAMSHAH, March 31, Four, Spinwam, North Waziristan, Sunday]","['Spinwam', 'North Waziristan']",[],[],['MIRAMSHAH'],"['March 31', 'Sunday']",[]
356,Two killed for honour,"ABBOTTABAD, April 3: A man killed his daughter and her alleged paramour in Lora village of Havelian on Wednesday. 
    ",2013-04-04,"[ABBOTTABAD, April 3, Lora village, Havelian, Wednesday]",['Lora village'],[],[],['ABBOTTABAD'],"['April 3', 'Wednesday']",['Murder']
357,Mortar shells hit Peshawar; 22 hurt,"PESHAWAR, April 9: Suspected militants on Tuesday fired seven mortar shells from the tribal area on Hayatabad area of Peshawar, injuring 22 people and damaging several houses and vehicles. 
    ",2013-04-10,"[PESHAWAR, April 9, Tuesday, seven, Hayatabad, Peshawar, 22]","['PESHAWAR', 'Hayatabad', 'Peshawar']",[],[],[],"['April 9', 'Tuesday']",['Terrorism']
358,9 militants killed in Orakzai gunbattle,"KALAYA, April 10: Nine militants were killed and two security personnel injured in a gunbattle in Orakzai tribal region on Wednesday. 
    ",2013-04-11,"[KALAYA, April 10, Nine, two, Orakzai, Wednesday]",['Orakzai'],[],[],['KALAYA'],"['April 10', 'Wednesday']","['Murder', 'Assault']"
359,Court dissatisfied with murder probe,"PESHAWAR, April 10: A bench of the Peshawar High Court on Wednesday expressed dissatisfaction over the investigation in killing of a woman under mysterious circumstances at one of the leading hospitals of the provincial capital and directed the police and 
    ",2013-04-11,"[PESHAWAR, April 10, the Peshawar High Court, Wednesday, one]",['PESHAWAR'],[],[],['the Peshawar High Court'],"['April 10', 'Wednesday']",[]
360,Houses of two outlaws razed in Diamer,"GILGIT, April 10: Police demolished houses of two high profile proclaimed offenders who were wanted in the murder of DSP Attaullah, officials said on Tuesday. 
    ",2013-04-11,"[GILGIT, April 10, two, DSP Attaullah, Tuesday]",[],[],[],"['GILGIT', 'DSP Attaullah']","['April 10', 'Tuesday']",['Assault']
361,Militants targeted in Darra air strikes,"KOHAT, April 18: Several militants were killed when helicopter gunships pounded different areas of Darra Adamkhel near the border of Khyber Agency on Thursday, sources said. 
    ",2013-04-19,"[KOHAT, April 18, Darra Adamkhel, Khyber Agency, Thursday]",[],[],['Darra Adamkhel'],"['KOHAT', 'Khyber Agency']","['April 18', 'Thursday']",['Murder']
362,Mortar shell kills three of a family in Buner,"BUNER/PESHAWAR, April 19: A woman and two children were killed on Friday when an unexploded mortar shell went off in... 
    ",2013-04-20,"[BUNER/PESHAWAR, April 19, two, Friday]",[],[],[],['BUNER/PESHAWAR'],"['April 19', 'Friday']",[]
363,Gunmen kill 4 of a family,"PESHAWAR, April 21: Unknown gunmen killed four persons of a family on Sunday in the Matani village on the outskirts of Peshawar. 
    ",2013-04-22,"[PESHAWAR, April 21, four, Sunday, Matani, Peshawar]","['PESHAWAR', 'Matani', 'Peshawar']",[],[],[],"['April 21', 'Sunday']",['Kidnapping']
364,AI urges govt to investigate election violence,"Amnesty said at least 37 people had been killed and 183 injured in attacks on election officials and supporters.  
    ",2013-04-26,"[Amnesty, at least 37, 183]",[],[],[],['Amnesty'],[],['Murder']
365,Policeman killed in Abbottabad,"ABBOTTABAD, April 25: Police constable Zafar Shah was killed allegedly by a member of drug mafia on the busiest ... 
    ",2013-04-26,"[ABBOTTABAD, April 25, Zafar Shah]",[],[],['Zafar Shah'],['ABBOTTABAD'],['April 25'],['Murder']
366,Kidnapper killed,"CHARSADDA, May 2: An alleged kidnapper was killed and another injured in a police encounter in Rajar area here on... 
    ",2013-05-03,"[CHARSADDA, May 2, Rajar]",[],[],['Rajar'],['CHARSADDA'],['May 2'],"['Assault', 'Murder', 'Terrorism']"
367,"13 outlaws, 2 FC men killed in Sibi clash","QUETTA, May 5: At least 13 outlaws and two Frontier Corps personnel were killed in a gunbattle in Bhag area of Sibi on Sunday. 
    ",2013-05-06,"[QUETTA, May 5, At least 13, two, Frontier Corps, Bhag area, Sibi, Sunday]","['QUETTA', 'Sibi']",['Bhag area'],[],['Frontier Corps'],"['May 5', 'Sunday']",[]
368,Attacker killed in Jinnah Hospital ward,"LAHORE, May 10: Two people were killed and a police constable suffered injuries in two shootings in Nawab Town and... 
    ",2013-05-11,"[LAHORE, May 10, Two, two, Nawab Town]","['LAHORE', 'Nawab Town']",[],[],[],['May 10'],['Murder']
369,Man shot dead,"NAUSHAHRO FEROZE, May 10: A man was killed and his son injured in an armed attack on their clinic-cum-medical store located in the Bhiria Road bazaar on Friday 
    ",2013-05-11,"[NAUSHAHRO FEROZE, May 10, Bhiria Road, Friday]",[],[],['NAUSHAHRO FEROZE'],[],"['May 10', 'Friday']",['Murder']
370,Suspect sustains burns in lockup,"MIRPURKHAS, May 10: A suspect detained in the Town police station lockup sustained serious burns on Friday evening... 
    ",2013-05-11,"[MIRPURKHAS, May 10, Friday, evening]",[],[],[],['MIRPURKHAS'],"['May 10', 'Friday']",['Murder']
371,Three killed,"GUJRANWALA, May 10: Three died and seven sustained injuries in an armed clash between two political groups in Gonoke village, Kamoke. Groups led by PML-N candidate Chaudhry Shamshad and independent Naeem Ashraf fell out with each other 
    ",2013-05-11,"[GUJRANWALA, May 10, Three, seven, two, Gonoke village, Kamoke, PML-N, Chaudhry Shamshad, Naeem Ashraf]","['Gonoke village', 'Kamoke']",[],"['Chaudhry Shamshad', 'Naeem Ashraf']","['GUJRANWALA', 'PML-N']",['May 10'],['Assault']
372,Mob attacks police after mans death in custody,"FAISALABAD, May 18: A large number of people attacked a police team and injured a constable for allegedly torturing ... 
    ",2013-05-19,"[FAISALABAD, May 18]",['FAISALABAD'],[],[],[],['May 18'],['Assault']
373,Prayer leader killed  ,"PESHAWAR, May 18: A prayer leader was shot dead by unidentified gunmen at Ring Road near Patang Chowk on Saturday A... 
    ",2013-05-19,"[PESHAWAR, May 18, Ring Road, Patang Chowk, Saturday]",['PESHAWAR'],[],[],[],"['May 18', 'Saturday']",['Murder']
374,Man lynched,"ISLAMABAD, May 18: A crowd lynched a man and injured two persons, including a prostitute, after they were caught in objectionable condition in a house in Golra on Saturday. 
    ",2013-05-19,"[ISLAMABAD, May 18, two, Golra, Saturday]","['ISLAMABAD', 'Golra']",[],[],[],"['May 18', 'Saturday']",['Assault']
375,Seven killed in Balochistan violence,"QUETTA, May 24: Five people were killed in incidents of firing and grenade attack and two bullet-riddled bodies were... 
    ",2013-05-25,"[QUETTA, May 24, Five, two]",['QUETTA'],[],[],[],['May 24'],[]
376,Terrorist plan foiled: Six arrested making IED in Peshawar,"PESHAWAR, May 24: Police on Friday arrested six terrorists, including a woman, and seized improvised explosives... 
    ",2013-05-25,"[PESHAWAR, May 24, Friday, six]",['PESHAWAR'],[],[],[],"['May 24', 'Friday']",['Terrorism']
377,"Heavy rain lashes KP, Fata; 4 killed","LANDI KOTAL/PESHAWAR, May 26: Two women and as many children were killed and several others injured when heavy rain... 
    ",2013-05-27,"[LANDI KOTAL/PESHAWAR, May 26, Two]",[],[],[],['LANDI KOTAL/PESHAWAR'],['May 26'],['Murder']
378,Two security men injured in blast,"BANNU/SWABI, May 26: Two security personnel were injured in a remote-controlled bomb blast at a checkpost near... 
    ",2013-05-27,"[BANNU/SWABI, May 26, Two]",[],[],[],['BANNU/SWABI'],['May 26'],['Terrorism']
379,Forces kill 14 militants in Kurram,"PARACHINAR, May 28: The army and paramilitary forces on Tuesday claimed to have killed 14 militants and destroyed... 
    ",2013-05-29,"[PARACHINAR, May 28, Tuesday, 14]",[],[],[],['PARACHINAR'],"['May 28', 'Tuesday']",['Murder']
380,2 militants killed,"QUETTA, June 2: Two militants were killed and another two captured during an operation carried out by security ... 
    ",2013-06-03,"[QUETTA, June 2, Two, two]",['QUETTA'],[],[],[],['June 2'],['Murder']
381,Windstorm kills nine in KP,"PESHAWAR, June 2: Nine persons, most of them children, were killed and scores of others received injuries when... 
    ",2013-06-03,"[PESHAWAR, June 2, Nine]",['PESHAWAR'],[],[],[],['June 2'],['Murder']
382,Peace volunteer shot dead in Tank,"TANK/MIRAMSHAH, June 2: Unidentified persons killed a commander of a peace committee and injured another volunteer... 
    ",2013-06-03,"[TANK/MIRAMSHAH, June 2]",[],[],[],['TANK/MIRAMSHAH'],['June 2'],[]
383,Police probing killing of four siblings ,"RAWALPINDI, June 2: An investigation has been launched into the mysterious death of a man and his three sisters ... 
    ",2013-06-03,"[RAWALPINDI, June 2, three]",[],[],[],['RAWALPINDI'],['June 2'],['Assault']
384,Two FC men killed,"QUETTA, June 3: Two security personnel were killed and two others injured in a bomb attack on a vehicle of Frontier... 
    ",2013-06-04,"[QUETTA, June 3, Two, two, Frontier]",['QUETTA'],[],[],[],['June 3'],[]
385,Minor killed on road ,"TAXILA, June 3: A five years old boy was crushed to death by speedy Suzuki van in limits of Wah Saddar Police ... 
    ",2013-06-04,"[TAXILA, June 3, five years old, Suzuki, Wah Saddar]",[],[],['Wah Saddar'],"['TAXILA', 'Suzuki']","['June 3', 'five years old']",['Murder']
386,"Kidnappers arrested, boy recovered","PESHAWAR, June 3: Police recovered a kidnapped boy and arrested three alleged abductors including two women during a... 
    ",2013-06-04,"[PESHAWAR, June 3, three, two]",['PESHAWAR'],[],[],[],['June 3'],[]
387,Kidnapped boy freed after raid in Ghausabad,"QUETTA, June 7: Police have recovered a kidnapped boy and arrested his alleged kidnappers, including the mastermind... 
    ",2013-06-08,"[QUETTA, June 7]",['QUETTA'],[],[],[],['June 7'],['Murder']
388,Two militants killed in Kurram clashes,"PARACHINAR, June 7: Two militants were killed and five injured, while four security personnel suffered injuries... 
    ",2013-06-08,"[PARACHINAR, June 7, Two, five, four]",[],[],[],['PARACHINAR'],['June 7'],['Murder']
389,Tutor among boys captors held in Peshawar,"PESHAWAR, June 7: Local police on Friday arrested a boys three kidnappers, including his tutor, and recovered... 
    ",2013-06-08,"[PESHAWAR, June 7, Friday, three]",['PESHAWAR'],[],[],[],"['June 7', 'Friday']",[]
390,Enmity claims three lives in Mansehra ,"MANSEHRA, June 8: A family feud claimed lives of three persons, including two brothers and a woman, here on ... 
    ",2013-06-09,"[MANSEHRA, June 8, three, two]",[],[],[],['MANSEHRA'],['June 8'],[]
391,Murder of FIA prosecutor Police land big catch,"ISLAMABAD, June 13: After five weeks of intense investigations, the capital police on Thursday traced and arrested... 
    ",2013-06-14,"[ISLAMABAD, June 13, five weeks, Thursday]",['ISLAMABAD'],[],[],[],"['June 13', 'five weeks', 'Thursday']",[]
392,Windstorm kills two girls in Charsadda,"CHARSADDA, June 13: Two girls were killed and more than 24 people sustained injuries in different areas as windstorm... 
    ",2013-06-14,"[CHARSADDA, June 13, Two, more than 24]",[],[],[],['CHARSADDA'],['June 13'],['Murder']
393,Police kill three killers of SI  ,"LAHORE, June 13: Police shot at and killed three alleged gunmen a few minutes after they allegedly opened fire at... 
    ",2013-06-14,"[LAHORE, June 13, three, a few minutes]",['LAHORE'],[],[],[],['June 13'],"['Murder', 'Assault']"
394,Kidnappers free man whose daughter died in blast,"QUETTA, June 17: Kidnappers freed on Monday night Meharullah Magsi, the father of a girl killed in a suicide attack... 
    ",2013-06-18,"[QUETTA, June 17, Monday night, Meharullah Magsi]",['QUETTA'],[],['Meharullah Magsi'],[],['June 17'],['Terrorism']
395,Militant killed in encounter,"SWABI/GHALANAI, June 17: A suspected militant was killed in an encounter with police in Swabi on Monday while two of... 
    ",2013-06-18,"[SWABI/GHALANAI, June 17, Swabi, Monday, two]",[],[],['Swabi'],['SWABI/GHALANAI'],"['June 17', 'Monday']",[]
396,Khokhars sons arrested,"RAWALPINDI, June 19:  Two sons of Imtiaz Khokhar, alias Taji Khokhar, were arrested by Airport police on Wednesday ... 
    ",2013-06-20,"[RAWALPINDI, June 19, Two, Imtiaz Khokhar, Taji Khokhar, Wednesday]",[],[],"['Imtiaz Khokhar', 'Taji Khokhar']",['RAWALPINDI'],"['June 19', 'Wednesday']",[]
397,Grenade attack on police station injures four,"PESHAWAR, June 19: At least four people including two law-enforcers were injured when unidentified persons attacked... 
    ",2013-06-20,"[PESHAWAR, June 19, At least four, two]",['PESHAWAR'],[],[],[],['June 19'],[]
398,Three killed,"QUETTA, June 23: Three people, among them a Levies Force man, were killed in separate attacks in Quetta and Kharan ... 
    ",2013-06-24,"[QUETTA, June 23, Three, Levies Force, Quetta, Kharan]","['QUETTA', 'Quetta', 'Kharan']",[],[],['Levies Force'],['June 23'],['Murder']
399,Soldier killed in Waziristan blast,"MIRAMSHAH/PARACHINAR, June 23: A soldier was killed and two others received injuries when a convoy of security ... 
    ",2013-06-24,"[MIRAMSHAH, June 23, two]",[],[],[],['MIRAMSHAH'],['June 23'],[]
400,Woman tortured to death by in-laws ,"LAHORE, June 23: A young woman and a man were murdered in different parts of the city on Sunday.

Hadiara police ... 
    ",2013-06-24,"[LAHORE, June 23, Sunday, Hadiara]",['LAHORE'],[],['Hadiara'],[],"['June 23', 'Sunday']",[]
401,Three killed,"Three people, among them a Levies Force man, were killed in separate attacks in Quetta and Kharan on Sunday.  
    ",2013-06-24,"[Three, Quetta, Kharan, Sunday]","['Quetta', 'Kharan']",[],[],[],['Sunday'],['Murder']
402,Three killed in firing on bus,"QUETTA, June 30: Three people were killed when armed men opened fire on a passenger bus in the Wadh area of Khuzdar... 
    ",2013-07-01,"[QUETTA, June 30, Three, Wadh, Khuzdar]","['QUETTA', 'Wadh', 'Khuzdar']",[],[],[],['June 30'],[]
403,Child abducted three years ago recovered,"MANSEHRA, June 30: Police here have recovered a minor child who was abducted and sold allegedly by his aunt to an... 
    ",2013-07-01,"[MANSEHRA, June 30]",[],[],[],['MANSEHRA'],['June 30'],['Murder']
404,Gunman held after encounter,"LAHORE, July 1: A gunman was arrested after a police encounter while outlaws plundered cash and valuables worth ... 
    ",2013-07-02,"[LAHORE, July 1]",['LAHORE'],[],[],[],['July 1'],[]
405,Two cops gunned down in Peshawar,"PESHAWAR/GHALANAI, July 1: Unidentified motorcyclists gunned down two law-enforcers of Peshtakhara police station... 
    ",2013-07-02,"[PESHAWAR, July 1, two, Peshtakhara]","['PESHAWAR', 'Peshtakhara']",[],[],[],['July 1'],['Murder']
406,Three of family shot dead,"KOHAT, July 1: A tribesman committed suicide after killing his wife, daughter and son and injuring two other ... 
    ",2013-07-02,"[KOHAT, July 1, two]",[],[],[],['KOHAT'],['July 1'],['Assault']
407,"Two burnt alive, one injured in explosion","RAWALPINDI, July 2: Two persons were burnt alive and another was critically injured when a house caught fire after a... 
    ",2013-07-03,"[RAWALPINDI, July 2, Two]",[],[],[],['RAWALPINDI'],['July 2'],['Assault']
408,Fuel tanker attacked in Khuzdar,"QUETTA, July 7: Gunmen opened fire on a tanker carrying fuel for US-led forces in Afghanistan in the Wadh area of... 
    ",2013-07-08,"[QUETTA, July 7, US, Afghanistan, Wadh]","['QUETTA', 'US', 'Afghanistan', 'Wadh']",[],[],[],['July 7'],[]
409,Five militants held in Lakki operation ,"Police claimed here on Sunday to have arrested five militants during a search operation in the district. 
    ",2013-07-08,"[Sunday, five]",[],[],[],[],['Sunday'],[]
410,Police clueless about blast perpetrators,"LAHORE, July 9: Lahore police are still clueless about terrorists who played havoc with the lives of innocent people... 
    ",2013-07-10,"[LAHORE, July 9, Lahore]","['LAHORE', 'Lahore']",[],[],[],['July 9'],['Terrorism']
411,Archaeology dept seeks help of dist admins,"LAHORE, July 9: Mindful of the terrorist attacks at the Quaid-i-Azams residency in Ziarat and gruesome killing of... 
    ",2013-07-10,"[LAHORE, July 9, Quaid, Ziarat]",['LAHORE'],[],"['Quaid', 'Ziarat']",[],['July 9'],['Terrorism']
412,"Police post attacked, bombs defused in Swabi","SWABI, July 9: A police post was attacked with hand grenades by suspected militants in Bamkhel area late on Monday... 
    ",2013-07-10,"[SWABI, July 9, Bamkhel, Monday]",[],[],['Bamkhel'],['SWABI'],"['July 9', 'Monday']",[]
413,Search operation to rescue hostages,"DERA GHAZI KHAN, July 11: Police are using two helicopters in their search for the Chhotu Mazari gang in the... 
    ",2013-07-12,"[DERA GHAZI KHAN, July 11, two]",[],[],['DERA GHAZI KHAN'],[],['July 11'],[]
414,Second major reshuffle in police after May 11,"LAHORE, July 12: The provincial government and police authorities on Friday appointed a regional police officer, a... 
    ",2013-07-13,"[LAHORE, July 12, Friday]",['LAHORE'],[],[],[],"['July 12', 'Friday']",[]
415,Policeman shot dead in Kech district,"QUETTA, July 12: Gunmen killed a nephew of Mir Jan Mohammad Buledi, the spokesman for the Balochistan government, at... 
    ",2013-07-13,"[QUETTA, July 12, Mir Jan, Mohammad Buledi, Balochistan]","['QUETTA', 'Mir Jan', 'Balochistan']",[],['Mohammad Buledi'],[],['July 12'],[]
416,"Seven killed, 17 injured in Chakwal road accident","CHAKWAL, July 12: Seven passengers were killed and 17 others injured after a bus met with an accident on the... 
    ",2013-07-13,"[CHAKWAL, July 12, Seven, 17]",[],[],[],['CHAKWAL'],['July 12'],[]
417,Lakki police claim killing kidnappers gang leader,"LAKKI MARWAT, July 12: Police claimed on Friday to have killed a leader of notorious kidnappers gang in an... 
    ",2013-07-13,"[LAKKI MARWAT, July 12, Friday, kidnappers]",['kidnappers\x92'],[],['LAKKI MARWAT'],[],"['July 12', 'Friday']",['Murder']
418,Cracker attack on shop in Karachi,"Unidentified people threw a cracker on a shop in Karimabad on Monday night, triggering panic among people.  
    ",2013-07-16,"[Karimabad, Monday, night]",['Karimabad'],[],[],[],['Monday'],[]
419,27 policemen punished for poor performance,"ATTOCK, July 15: The District Police Officer (DPO) Abdul Kadir Qamar took action against 27 police officials for... 
    ",2013-07-16,"[ATTOCK, July 15, The District Police Officer, DPO, Abdul Kadir Qamar, 27]",[],[],['Abdul Kadir Qamar'],"['ATTOCK', 'The District Police Officer', 'DPO']",['July 15'],[]
420,Four drown in Korang Nullah,"ISLAMABAD, July 15: Four persons, including a woman and her son, drowned in Korang Nullah on Monday. 

Police said... 
    ",2013-07-16,"[ISLAMABAD, July 15, Four, Korang Nullah, Monday]","['ISLAMABAD', 'Korang Nullah']",[],[],[],"['July 15', 'Monday']",['Murder']
421,Water dispute claims life,"CHITRAL, July 15: A man was killed and his three cousins were critically injured when their rivals opened fire on... 
    ",2013-07-16,"[CHITRAL, July 15, three]",['CHITRAL'],[],[],[],['July 15'],['Murder']
422,Main artery blocked after clash,"Violence broke out on Sharea Faisal following clashes between two groups that resulted in injuries to a man.  
    ",2013-07-19,"[Sharea Faisal, two]",[],[],['Sharea Faisal'],[],[],[]
423,"Constable slain,  three injured in anti-theft raid","OKARA, July 18: A police constable was hacked to death while an inspector, a Wapda SDO and a lineman were injured by... 
    ",2013-07-19,"[OKARA, July 18, Wapda SDO]",[],[],['Wapda SDO'],['OKARA'],['July 18'],['Murder']
424,"Soldiers, peace volunteers killed in Bajaur","KHAR, July 18: Two security men and three volunteers of an anti-Taliban peace committee were killed in two separate... 
    ",2013-07-19,"[July 18, Two, three, two]",[],[],[],[],['July 18'],[]
425,Five killed in Swat road mishap,"MINGORA, July 18: Five people were killed and two others injured in a road mishap at Beshram, a few kilometres from... 
    ",2013-07-19,"[MINGORA, July 18, Five, two, Beshram, a few kilometres]",['Beshram'],[],[],['MINGORA'],['July 18'],['Kidnapping']
426,Two Hazaras shot dead in Quetta,"QUETTA, July 22: Two youths belonging to the Shia Hazara community died in an act of targeted killing on a busy road... 
    ",2013-07-23,"[QUETTA, July 22, Two, Shia, Hazara]","['QUETTA', 'Hazara']",[],[],[],['July 22'],['Murder']
427,"Peace volunteer, driver killed in Bajaur","KHAR, July 22: Unidentified gunmen shot dead a member of a local peace committee along with his driver in Kohi area... 
    ",2013-07-23,"[July 22, Kohi]",[],[],[],['Kohi'],['July 22'],['Murder']
428,Dawn staffers son shot dead,"THATTA, July 26: A 35-year-old man was shot dead outside his home in Thattas Kumbhar Mohalla, near the Makli... 
    ",2013-07-27,"[THATTA, July 26, 35-year-old, Thattas Kumbhar Mohalla, Makli]","['Thatta\x92s Kumbhar Mohalla', 'Makli']",[],[],['THATTA'],"['July 26', '35-year-old']","['Murder', 'Assault']"
